type: 1  ;;; serialno: 12  ;;; thread_id: 1453  ;;; process_id: 1453  ;;; thread_name: "xrdp"  ;;; syscall_name: "bind"  ;;; syscall_param: "8<UNIX:[38427]>, {sa_family=AF_LOCAL, sun_path="/tmp/.xrdp/xrdp-9CZDUD/xrdp_000005ad_process_self_term_event_00000003_9d2afe30"}, 110"  ;;; syscall_ret_val: 0  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_exit_info: "None"
type: 1  ;;; serialno: 13  ;;; thread_id: 1453  ;;; process_id: 1453  ;;; thread_name: "xrdp"  ;;; syscall_name: "clone"  ;;; syscall_param: "child_stack=0x7f87ba9ebff0, flags=CLONE_VM|CLONE_FS|CLONE_FILES|CLONE_SIGHAND|CLONE_THREAD|CLONE_SYSVSEM|CLONE_SETTLS|CLONE_PARENT_SETTID|CLONE_CHILD_CLEARTID, parent_tidptr=0x7f87ba9ec9d0, tls=0x7f87ba9ec700, child_tidptr=0x7f87ba9ec9d0"  ;;; syscall_ret_val: 1933  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_exit_info: "None"
type: 1  ;;; serialno: 46  ;;; thread_id: 1933  ;;; process_id: 1453  ;;; thread_name: "xrdp"  ;;; syscall_name: "exit"  ;;; syscall_param: "0"  ;;; syscall_ret_val: ?  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_exit_info: "None"
type: 1  ;;; serialno: 64  ;;; thread_id: 1453  ;;; process_id: 1453  ;;; thread_name: "xrdp"  ;;; syscall_name: "bind"  ;;; syscall_param: "8<UNIX:[36558]>, {sa_family=AF_LOCAL, sun_path="/tmp/.xrdp/xrdp-9CZDUD/xrdp_000005ad_process_self_term_event_00000004_659cabbe"}, 110"  ;;; syscall_ret_val: 0  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_exit_info: "None"
type: 1  ;;; serialno: 65  ;;; thread_id: 1453  ;;; process_id: 1453  ;;; thread_name: "xrdp"  ;;; syscall_name: "clone"  ;;; syscall_param: "child_stack=0x7f87ba9ebff0, flags=CLONE_VM|CLONE_FS|CLONE_FILES|CLONE_SIGHAND|CLONE_THREAD|CLONE_SYSVSEM|CLONE_SETTLS|CLONE_PARENT_SETTID|CLONE_CHILD_CLEARTID, parent_tidptr=0x7f87ba9ec9d0, tls=0x7f87ba9ec700, child_tidptr=0x7f87ba9ec9d0"  ;;; syscall_ret_val: 1938  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_exit_info: "None"
type: 1  ;;; serialno: 154  ;;; thread_id: 1938  ;;; process_id: 1453  ;;; thread_name: "xrdp"  ;;; syscall_name: "bind"  ;;; syscall_param: "9<UNIX:[36605]>, {sa_family=AF_LOCAL, sun_path="/tmp/.xrdp/xrdp-9CZDUD/xrdp_000005ad_wm_login_mode_event_00000004_375cd735"}, 110"  ;;; syscall_ret_val: 0  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_exit_info: "None"
type: 1  ;;; serialno: 916  ;;; thread_id: 1938  ;;; process_id: 1453  ;;; thread_name: "xrdp"  ;;; syscall_name: "connect"  ;;; syscall_param: "10<TCP:[38691]>, {sa_family=AF_INET, sin_port=htons(3350), sin_addr=inet_addr("127.0.0.1")}, 16"  ;;; syscall_ret_val: -1  ;;; syscall_ret_val_info: "None"  ;;; errno: "EINPROGRESS"  ;;; error_info: "Operation now in progress"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_exit_info: "None"
type: 1  ;;; serialno: 1087  ;;; thread_id: 1455  ;;; process_id: 1455  ;;; thread_name: "xrdp-sesman"  ;;; syscall_name: "bind"  ;;; syscall_param: "8<TCP:[38741]>, {sa_family=AF_INET, sin_port=htons(5910), sin_addr=inet_addr("0.0.0.0")}, 16"  ;;; syscall_ret_val: 0  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_exit_info: "None"
type: 1  ;;; serialno: 1095  ;;; thread_id: 1455  ;;; process_id: 1455  ;;; thread_name: "xrdp-sesman"  ;;; syscall_name: "bind"  ;;; syscall_param: "8<TCP:[38742]>, {sa_family=AF_INET, sin_port=htons(6010), sin_addr=inet_addr("0.0.0.0")}, 16"  ;;; syscall_ret_val: 0  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_exit_info: "None"
type: 1  ;;; serialno: 1103  ;;; thread_id: 1455  ;;; process_id: 1455  ;;; thread_name: "xrdp-sesman"  ;;; syscall_name: "bind"  ;;; syscall_param: "8<TCP:[38743]>, {sa_family=AF_INET, sin_port=htons(6210), sin_addr=inet_addr("0.0.0.0")}, 16"  ;;; syscall_ret_val: 0  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_exit_info: "None"
type: 1  ;;; serialno: 1106  ;;; thread_id: 1455  ;;; process_id: 1455  ;;; thread_name: "xrdp-sesman"  ;;; syscall_name: "clone"  ;;; syscall_param: "child_stack=0, flags=CLONE_CHILD_CLEARTID|CLONE_CHILD_SETTID|SIGCHLD, child_tidptr=0x7f6497ad69d0"  ;;; syscall_ret_val: 1948  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_exit_info: "None"
type: 1  ;;; serialno: 1122  ;;; thread_id: 1943  ;;; process_id: 1455  ;;; thread_name: "xrdp-sesman"  ;;; syscall_name: "exit"  ;;; syscall_param: "0"  ;;; syscall_ret_val: ?  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_exit_info: "None"
type: 1  ;;; serialno: 1187  ;;; thread_id: 1948  ;;; process_id: 1948  ;;; thread_name: "xrdp-sesman"  ;;; syscall_name: "connect"  ;;; syscall_param: "8<UNIX:[38745]>, {sa_family=AF_LOCAL, sun_path="/dev/log"}, 110"  ;;; syscall_ret_val: 0  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_exit_info: "None"
type: 1  ;;; serialno: 1197  ;;; thread_id: 1948  ;;; process_id: 1948  ;;; thread_name: "xrdp-sesman"  ;;; syscall_name: "connect"  ;;; syscall_param: "9<UNIX:[39088]>, {sa_family=AF_LOCAL, sun_path="/tmp/.X11-unix/X10"}, 20"  ;;; syscall_ret_val: -1  ;;; syscall_ret_val_info: "None"  ;;; errno: "ENOENT"  ;;; error_info: "No such file or directory"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_exit_info: "None"
type: 1  ;;; serialno: 1205  ;;; thread_id: 1948  ;;; process_id: 1948  ;;; thread_name: "xrdp-sesman"  ;;; syscall_name: "connect"  ;;; syscall_param: "9<UNIX:[39089]>, {sa_family=AF_LOCAL, sun_path="/var/run/dbus/system_bus_socket"}, 33"  ;;; syscall_ret_val: 0  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_exit_info: "None"
type: 1  ;;; serialno: 1632  ;;; thread_id: 1938  ;;; process_id: 1453  ;;; thread_name: "xrdp"  ;;; syscall_name: "connect"  ;;; syscall_param: "11<TCP:[39431]>, {sa_family=AF_INET, sin_port=htons(5910), sin_addr=inet_addr("127.0.0.1")}, 16"  ;;; syscall_ret_val: -1  ;;; syscall_ret_val_info: "None"  ;;; errno: "ECONNREFUSED"  ;;; error_info: "Connection refused"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_exit_info: "None"
type: 1  ;;; serialno: 1849  ;;; thread_id: 1948  ;;; process_id: 1948  ;;; thread_name: "xrdp-sesman"  ;;; syscall_name: "clone"  ;;; syscall_param: "child_stack=0, flags=CLONE_CHILD_CLEARTID|CLONE_CHILD_SETTID|SIGCHLD, child_tidptr=0x7f6497ad69d0"  ;;; syscall_ret_val: 1998  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_exit_info: "None"
type: 1  ;;; serialno: 1852  ;;; thread_id: 1948  ;;; process_id: 1948  ;;; thread_name: "xrdp-sesman"  ;;; syscall_name: "clone"  ;;; syscall_param: "child_stack=0, flags=CLONE_CHILD_CLEARTID|CLONE_CHILD_SETTID|SIGCHLD, child_tidptr=0x7f6497ad69d0"  ;;; syscall_ret_val: 1999  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_exit_info: "None"
type: 1  ;;; serialno: 1910  ;;; thread_id: 1999  ;;; process_id: 1999  ;;; thread_name: "xrdp-sesman"  ;;; syscall_name: "execve"  ;;; syscall_param: ""/bin/Xvnc", ["Xvnc", ":10", "-geometry", "1920x1080", "-depth", "24", "-rfbauth", "/home/elwin/.vnc/sesman_elwin_passwd", "-bs", "-ac", "-nolisten", "tcp", "-localhost", "-dpi", "96"], ["SHELL=/bin/bash", "PATH=/bin:/usr/bin:/usr/X11R6/bin:/usr/local/bin", "USER=elwin", "UID=1000", "HOME=/home/elwin", "DISPLAY=:10.0"]"  ;;; syscall_ret_val: -1  ;;; syscall_ret_val_info: "None"  ;;; errno: "ENOENT"  ;;; error_info: "No such file or directory"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_exit_info: "None"
type: 1  ;;; serialno: 1911  ;;; thread_id: 1999  ;;; process_id: 1999  ;;; thread_name: "xrdp-sesman"  ;;; syscall_name: "execve"  ;;; syscall_param: ""/usr/bin/Xvnc", ["Xvnc", ":10", "-geometry", "1920x1080", "-depth", "24", "-rfbauth", "/home/elwin/.vnc/sesman_elwin_passwd", "-bs", "-ac", "-nolisten", "tcp", "-localhost", "-dpi", "96"], ["SHELL=/bin/bash", "PATH=/bin:/usr/bin:/usr/X11R6/bin:/usr/local/bin", "USER=elwin", "UID=1000", "HOME=/home/elwin", "DISPLAY=:10.0"]"  ;;; syscall_ret_val: 0  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_exit_info: "None"
type: 1  ;;; serialno: 1980  ;;; thread_id: 1999  ;;; process_id: 1999  ;;; thread_name: "Xvnc"  ;;; syscall_name: "write"  ;;; syscall_param: "2</dev/null>, "", 0"  ;;; syscall_ret_val: 0  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_exit_info: "None"
type: 1  ;;; serialno: 2007  ;;; thread_id: 1999  ;;; process_id: 1999  ;;; thread_name: "Xvnc"  ;;; syscall_name: "bind"  ;;; syscall_param: "0<UNIX:[40227]>, {sa_family=AF_LOCAL, sun_path="/tmp/.X11-unix/X10"}, 20"  ;;; syscall_ret_val: 0  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_exit_info: "None"
type: 1  ;;; serialno: 2017  ;;; thread_id: 1999  ;;; process_id: 1999  ;;; thread_name: "Xvnc"  ;;; syscall_name: "write"  ;;; syscall_param: "2</dev/null>, "\nXvnc Free Edition 4.1.1 - built Feb 25 2015 23:02:21\nCopyright (C) 2002-2005 RealVNC Ltd.\nSee http://www.realvnc.com for information on VNC.\n", 142"  ;;; syscall_ret_val: 142  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_exit_info: "None"
